23,22,12,16,19,14,15,11,10,19,20,17,38,21,17,19,31,27,16,21,18,14,10,10,10,10,10,10,10,0
0,16,1,135,158,62,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,4,7,1,7,5,3,5,11,4,3,4,5,5,6,2,4,4,7,2,4,5,2,5,5,4,3,3
1,3,3,7,7,1,4,5,4,7,8,4,5,6,2,5,3,5,8,6,8,1,4,4,3,3,6,7,5,7
10,18,11,13,57,14,10,13,10,13,77,28,18,10,11,10,13,44,10,10,10,10,10,10,10,10,10,10,10,0
8,67,52,173,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,51,24,141,160,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22,27,16,14,28,33,17,22,17,29,10,16,17,31,25,25,10,10,10,10,10,10,10,10,10,10,10,10,0
14,20,19,14,14,16,21,19,22,20,24,17,14,17,19,21,16,17,14,13,16,19,18,21,13,14,13,13,12,10
2,5,11,107,133,26,34,9,12,12,5,9,6,5,7,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0
17,20,17,18,20,26,22,26,15,20,19,13,12,13,17,15,16,24,22,22,16,10,10,10,10,10,10,10,10,0
4,13,55,117,109,6,13,10,3,15,5,2,0,1,0,23,7,1,6,1,6,1,2,0,0,0,0,0,0,0
2,6,3,4,7,5,8,5,4,4,11,4,4,6,3,5,7,5,5,3,5,1,1,2,4,3,4,5,4,4
16,15,19,143,138,57,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,67,46,162,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,33,15,13,13,18,21,17,21,15,11,14,16,15,16,21,16,11,12,16,17,19,19,14,13,12,19,17,15,11
2,25,21,123,101,9,34,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,32,24,138,134,19,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,7,5,5,4,4,6,3,5,9,4,3,2,2,1,7,5,8,7,4,4,3,5,4,1,5,8,6,7
8,25,83,106,137,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,6,6,6,2,5,2,6,8,7,4,2,6,4,2,5,5,5,4,4,5,2,3,4,1,5,8,3,5
14,11,17,13,12,12,16,33,15,17,26,21,24,19,23,16,11,12,19,18,14,23,16,28,20,10,10,10,10,0
1,12,15,114,117,24,16,25,20,17,10,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,34,105,107,134,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,7,7,1,6,4,6,8,10,4,6,6,5,5,4,1,5,3,5,4,4,2,3,3,6,7,3,5
11,17,18,14,14,18,15,20,18,19,11,14,17,15,18,17,20,14,14,17,19,18,20,18,14,12,16,23,15,14
13,23,18,14,11,26,35,19,17,16,17,12,12,16,21,20,19,19,15,12,16,17,22,19,13,13,13,12,10,0
5,5,4,5,8,4,4,2,6,6,7,2,2,6,2,2,6,4,8,6,4,3,2,4,2,4,3,7,5,6
5,5,6,7,4,4,8,5,4,7,10,5,6,6,1,4,4,2,4,4,5,1,5,3,6,1,5,5,4,5
10,46,12,60,15,40,23,17,12,19,39,12,22,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
5,3,5,7,6,3,4,5,2,8,10,2,5,3,3,4,7,3,7,7,8,3,5,4,6,2,4,5,4,5
10,23,16,10,10,12,20,42,21,34,10,10,20,19,39,25,21,11,13,17,22,14,11,10,10,10,10,10,10,0
14,37,42,115,142,23,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,43,21,17,47,22,22,18,15,30,19,15,26,11,10,12,20,15,10,10,10,10,10,10,10,10,10,10,0
10,37,45,21,40,10,14,18,16,14,24,24,22,36,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
4,3,4,6,7,2,7,4,3,7,8,6,2,3,2,4,4,2,5,5,4,2,1,3,5,3,2,4,4,3
10,21,10,20,14,25,11,17,10,15,17,10,20,22,13,22,11,20,10,22,25,28,13,10,10,10,17,16,18,6
10,17,22,20,10,10,23,23,19,15,19,10,11,14,18,25,15,18,10,12,18,22,19,10,10,10,10,11,25,14
0,14,13,100,111,20,14,16,21,41,0,0,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,23,30,24,10,17,11,15,16,13,17,10,12,14,12,17,12,10,10,18,29,15,21,19,16,10,13,16,13,7
10,14,17,10,10,45,63,14,17,12,10,10,11,12,14,12,14,10,11,16,16,15,11,11,10,10,10,15,20,1
19,15,14,19,11,10,19,18,19,13,14,13,10,15,17,19,13,21,14,10,19,23,26,16,11,10,10,10,10,2
10,14,13,10,10,11,49,21,14,17,13,13,17,16,19,16,13,11,12,13,17,15,13,15,12,12,11,16,12,5
10,10,10,14,10,10,10,10,10,10,10,10,20,13,10,10,10,10,10,10,10,46,21,36,23,25,12,15,18,13
12,24,13,10,10,18,22,16,12,13,11,10,12,11,13,19,14,15,10,27,17,14,10,10,10,10,11,11,24,23
13,11,10,10,10,11,13,11,10,10,11,13,13,12,14,21,23,13,17,19,21,12,14,19,20,12,20,17,18,11
10,11,12,11,12,16,12,16,12,13,10,11,12,12,18,11,12,10,11,13,18,39,14,32,13,14,19,17,11,5
10,19,17,11,10,14,16,20,16,16,10,10,13,13,16,16,18,11,10,19,22,15,19,13,10,10,14,19,16,3
11,26,29,10,10,11,14,30,37,27,19,10,12,10,10,10,11,10,16,10,10,10,10,10,20,10,10,10,10,0
10,12,15,31,14,10,12,15,16,20,17,13,17,17,11,12,19,11,19,10,13,10,19,12,15,11,11,11,12,6
7,142,51,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,6,4,7,5,5,2,2,7,8,5,5,4,2,2,7,4,7,5,7,1,2,5,4,4,6,7,3,5
11,35,33,21,10,11,26,20,33,31,19,19,13,41,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
11,14,18,12,12,11,10,15,11,12,13,14,10,15,10,11,14,10,10,14,27,37,12,48,79,10,10,10,10,0
29,108,63,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,6,4,4,3,6,6,3,7,9,3,4,5,5,5,4,5,4,7,4,1,1,2,6,3,6,4,4,3
1,6,7,7,4,3,5,4,4,4,7,3,5,4,3,1,5,4,8,3,6,1,5,3,3,2,2,8,6,7
0,89,74,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,38,36,106,110,8,11,16,7,10,11,4,5,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,4,8,5,1,8,3,2,6,10,6,5,2,2,5,5,5,4,3,7,4,1,4,2,1,6,5,4,4
8,17,14,104,104,7,20,21,16,16,13,23,1,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,7,8,4,6,3,2,8,11,2,2,6,5,2,3,2,8,7,4,2,4,2,5,4,6,8,7,4
11,51,22,13,13,14,17,17,14,15,13,14,17,19,15,19,15,12,13,13,19,47,15,18,12,11,11,10,10,0
3,6,6,5,7,4,7,2,6,8,9,4,4,6,5,1,5,1,6,6,5,4,1,4,2,2,4,6,5,3
5,3,7,6,5,2,5,6,6,7,7,4,5,4,4,2,4,4,6,7,5,5,4,5,4,2,6,5,6,7
10,76,74,140,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
